"","foldNumber","CVtrain.R2","train.inter","train.slope","N.train","corre.train","rmse.train","mae.train","CVtest.R2","test.inter","test.slope","N.test","corre.test","rmse.test","mae.test"
"1",1,0.896770337277855,6.19523605897588,0.681123803844343,26718,0.839284132252226,7.74649383254906,3.80031669825203,0.897286276272061,6.13884444454596,0.691326118438257,2968,0.831422141941555,7.66864430568753,4.09623703485502
"2",2,0.894727133398293,6.15087056517895,0.683652821331143,26718,0.83663298991918,7.84300037724311,3.86146662289721,0.898972156147913,5.2958897541586,0.733438389014657,2968,0.82454963328374,7.42211417216784,4.36665169810817
"3",3,0.89540233643251,6.14818873642337,0.683071793807526,26718,0.839129531577174,7.82802766010079,3.8458195019311,0.914203517728833,4.15991025659899,0.798568162198446,2968,0.843816668809328,6.75393944310754,3.99388020717688
"4",4,0.925297005411834,4.92566870290093,0.749220251510668,26718,0.876208636242521,6.46375792381889,3.71922454921386,0.685486801672587,12.2749780591448,0.357520215564409,2968,0.626802467060777,15.5692177834842,4.39927697314017
"5",5,0.899635679887884,6.00928283434407,0.691560237643101,26718,0.844120763731747,7.63988865881086,3.76340461209114,0.910222871760122,5.59205457152337,0.711103535789724,2968,0.854302556365149,7.15525360942428,4.05500992800444
"6",6,0.900387364440531,5.95990224820529,0.693999710563795,26718,0.847279961146076,7.63682169992724,3.82834912649587,0.90129517593146,4.04434899817808,0.792558002402425,2968,0.825954427501805,7.26693312635133,4.02510711020158
"7",7,0.896146893050725,6.2261839776373,0.680807214169673,26718,0.838593029628452,7.77705888349667,3.790429434408,0.923864946364634,4.51143367695797,0.762391563401432,2968,0.875052036050347,6.54604452716321,3.99717226689923
"8",8,0.905490960674842,5.75567030276558,0.704699778110316,26718,0.853232559821185,7.40356101129368,3.72448057042502,0.893894431100962,6.13720508093947,0.682592140785294,2968,0.834347511686765,7.87530925138012,4.17136984847653
"9",9,0.909529812091469,5.60231324138416,0.7115818138736,26718,0.862318315825171,7.26821723173861,3.74197932232549,0.899779594973166,4.39119809630191,0.781465657324019,2968,0.828498931451888,7.41818372338988,4.1595097926778
"10",10,0.902683825001296,5.97582551147309,0.692735125179069,26712,0.848827695137096,7.51473588573464,3.75944905601479,0.907583152623086,5.71829276906335,0.709526582397534,2974,0.85643231213978,7.33226235562214,4.08576840347652
